
=== Feature slice: workclass ===
   occupation_Prof-specialty    1.0   0.802734 0.736559 0.768224 1187
  occupation_Protective-serv    0.0   0.732736 0.607517 0.664277 9563
  occupation_Protective-serv    1.0   0.677966 0.597015 0.634921  206
            occupation_Sales    0.0   0.734155 0.609056 0.665780 8675
            occupation_Sales    1.0   0.710317 0.594684 0.647378 1094
     occupation_Tech-support    0.0   0.731075 0.606500 0.662986 9496
     occupation_Tech-support    1.0   0.731343 0.628205 0.675862  273
 occupation_Transport-moving    0.0   0.734237 0.616900 0.670473 9348
 occupation_Transport-moving    1.0   0.567568 0.295775 0.388889  421
              occupation_nan    0.0   0.731895 0.608195 0.664336 9577
              occupation_nan    1.0   0.555556 0.416667 0.476190  192

=== Feature slice: relationship ===
                    feature  value  precision   recall    fbeta    n
       relationship_Husband    0.0   0.775676 0.479132 0.592363 5801
       relationship_Husband    1.0   0.720681 0.650911 0.684022 3968
 relationship_Not-in-family    1.0   0.818182 0.396610 0.534247 2516
 relationship_Not-in-family    0.0   0.724214 0.637379 0.678027 7253
relationship_Other-relative    0.0   0.730907 0.608362 0.664028 9443
relationship_Other-relative    1.0   0.800000 0.363636 0.500000  326
     relationship_Own-child    0.0   0.730256 0.609850 0.664644 8310
     relationship_Own-child    1.0   1.000000 0.300000 0.461538 1459
     relationship_Unmarried    0.0   0.730669 0.616193 0.668566 8703
     relationship_Unmarried    1.0   0.758621 0.314286 0.444444 1066
          relationship_Wife    0.0   0.730356 0.600372 0.659016 9335
          relationship_Wife    1.0   0.737968 0.679803 0.707692  434

=== Feature slice: race ===
                feature  value  precision   recall    fbeta    n
race_Amer-Indian-Eskimo    0.0   0.732170 0.608010 0.664339 9673
race_Amer-Indian-Eskimo    1.0   0.428571 0.375000 0.400000   96
race_Asian-Pac-Islander    0.0   0.730851 0.605553 0.662328 9451
race_Asian-Pac-Islander    1.0   0.736842 0.651163 0.691358  318
             race_Black    0.0   0.731447 0.613250 0.667154 8818
             race_Black    1.0   0.722892 0.495868 0.588235  951
             race_Other    0.0   0.730395 0.607158 0.663099 9702
             race_Other    1.0   1.000000 0.625000 0.769231   67
             race_White    1.0   0.731653 0.612570 0.666837 8337
             race_White    0.0   0.725146 0.556054 0.629442 1432

=== Feature slice: sex ===
   feature  value  precision   recall    fbeta    n
sex_Female    0.0   0.726044 0.620603 0.669195 6536
sex_Female    1.0   0.764706 0.534247 0.629032 3233
  sex_Male    1.0   0.726044 0.620603 0.669195 6536
  sex_Male    0.0   0.764706 0.534247 0.629032 3233

=== Feature slice: native-country ===
                                  feature  value  precision   recall    fbeta    n
                         native-country_?    0.0   0.731027 0.607725 0.663698 9651
                         native-country_?    1.0   0.736842 0.560000 0.636364  118
                  native-country_Cambodia    0.0   0.730946 0.607826 0.663725 9760
                  native-country_Cambodia    1.0   1.000000 0.250000 0.400000    9
                    native-country_Canada    0.0   0.729702 0.607357 0.662932 9738
                    native-country_Canada    1.0   1.000000 0.588235 0.740741   31
                     native-country_China    0.0   0.730769 0.607158 0.663253 9743
                     native-country_China    1.0   0.833333 0.625000 0.714286   26
                  native-country_Columbia    0.0   0.730671 0.606718 0.662950 9748
                  native-country_Columbia    1.0   1.000000 1.000000 1.000000   21
                      native-country_Cuba    0.0   0.730077 0.605544 0.662005 9741
                      native-country_Cuba    1.0   0.909091 1.000000 0.952381   28
        native-country_Dominican-Republic    0.0   0.730946 0.607052 0.663263 9748
        native-country_Dominican-Republic    1.0   1.000000 1.000000 1.000000   21
                   native-country_Ecuador    0.0   0.730946 0.607052 0.663263 9761
                   native-country_Ecuador    1.0   1.000000 1.000000 1.000000    8
               native-country_El-Salvador    0.0   0.730946 0.607052 0.663263 9733
               native-country_El-Salvador    1.0   1.000000 1.000000 1.000000   36
                   native-country_England    0.0   0.731520 0.607935 0.664026 9733
                   native-country_England    1.0   0.625000 0.454545 0.526316   36
                    native-country_France    0.0   0.730395 0.606899 0.662945 9758
                    native-country_France    1.0   1.000000 0.714286 0.833333   11
                   native-country_Germany    0.0   0.730730 0.606655 0.662937 9727
                   native-country_Germany    1.0   0.800000 0.727273 0.761905   42
                    native-country_Greece    0.0   0.730946 0.607310 0.663417 9762
                    native-country_Greece    1.0   1.000000 0.500000 0.666667    7
                 native-country_Guatemala    0.0   0.731084 0.607219 0.663419 9753
                 native-country_Guatemala    1.0   1.000000 1.000000 1.000000   16
                     native-country_Haiti    0.0   0.730809 0.607143 0.663261 9747
                     native-country_Haiti    1.0   1.000000 0.666667 0.800000   22
                  native-country_Honduras    0.0   0.731084 0.607219 0.663419 9763
                  native-country_Honduras    1.0   1.000000 1.000000 1.000000    6
                      native-country_Hong    0.0   0.731183 0.606885 0.663261 9762
                      native-country_Hong    1.0   0.666667 1.000000 0.800000    7
                   native-country_Hungary    0.0   0.731084 0.607477 0.663573 9766
                   native-country_Hungary    1.0   1.000000 0.000000 0.000000    3
                     native-country_India    0.0   0.732510 0.607249 0.664024 9737
                     native-country_India    1.0   0.500000 0.600000 0.545455   32
                      native-country_Iran    0.0   0.731183 0.607401 0.663569 9760
                      native-country_Iran    1.0   0.666667 0.500000 0.571429    9
                   native-country_Ireland    0.0   0.730946 0.607052 0.663263 9766
                   native-country_Ireland    1.0   1.000000 1.000000 1.000000    3
                     native-country_Italy    0.0   0.730907 0.607067 0.663256 9752
                     native-country_Italy    1.0   0.800000 0.666667 0.727273   17
                   native-country_Jamaica    0.0   0.730946 0.607826 0.663725 9744
                   native-country_Jamaica    1.0   1.000000 0.250000 0.400000   25
                     native-country_Japan    0.0   0.730354 0.606397 0.662628 9745
                     native-country_Japan    1.0   0.888889 0.800000 0.842105   24
                      native-country_Laos    0.0   0.731084 0.607477 0.663573 9763
                      native-country_Laos    1.0   1.000000 0.000000 0.000000    6
                    native-country_Mexico    0.0   0.731045 0.608269 0.664030 9560
                    native-country_Mexico    1.0   0.750000 0.333333 0.461538  209
                 native-country_Nicaragua    0.0   0.731084 0.607219 0.663419 9762
                 native-country_Nicaragua    1.0   1.000000 1.000000 1.000000    7
native-country_Outlying-US(Guam-USVI-etc)    0.0   0.731084 0.607219 0.663419 9766
native-country_Outlying-US(Guam-USVI-etc)    1.0   1.000000 1.000000 1.000000    3
                      native-country_Peru    0.0   0.731458 0.607477 0.663727 9761
                      native-country_Peru    1.0   0.000000 0.000000 0.000000    8
               native-country_Philippines    0.0   0.731720 0.607265 0.663709 9709
               native-country_Philippines    1.0   0.642857 0.600000 0.620690   60
                    native-country_Poland    0.0   0.731695 0.607826 0.664033 9752
                    native-country_Poland    1.0   0.333333 0.250000 0.285714   17
                  native-country_Portugal    0.0   0.731084 0.607993 0.663881 9751
                  native-country_Portugal    1.0   1.000000 0.000000 0.000000   18
               native-country_Puerto-Rico    0.0   0.730533 0.606550 0.662793 9737
               native-country_Puerto-Rico    1.0   1.000000 1.000000 1.000000   32
                  native-country_Scotland    0.0   0.730946 0.607052 0.663263 9764
                  native-country_Scotland    1.0   1.000000 1.000000 1.000000    5
                     native-country_South    0.0   0.731183 0.607143 0.663415 9746
                     native-country_South    1.0   0.666667 0.666667 0.666667   23
                    native-country_Taiwan    0.0   0.730354 0.605880 0.662320 9753
                    native-country_Taiwan    1.0   0.888889 1.000000 0.941176   16
                  native-country_Thailand    0.0   0.731084 0.607219 0.663419 9765
                  native-country_Thailand    1.0   1.000000 1.000000 1.000000    4
           native-country_Trinadad&Tobago    0.0   0.731320 0.607052 0.663417 9764
           native-country_Trinadad&Tobago    1.0   0.500000 1.000000 0.666667    5
             native-country_United-States    1.0   0.726404 0.605337 0.660368 8709
             native-country_United-States    0.0   0.778409 0.625571 0.693671 1060
                   native-country_Vietnam    0.0   0.730946 0.607310 0.663417 9745
                   native-country_Vietnam    1.0   1.000000 0.500000 0.666667   24
                native-country_Yugoslavia    0.0   0.731320 0.607052 0.663417 9767
                native-country_Yugoslavia    1.0   0.500000 1.000000 0.666667    2
                       native-country_nan    0.0   0.730511 0.607036 0.663074 9707
                       native-country_nan    1.0   0.789474 0.625000 0.697674   62
